Name,Alias,Nationality,Designation,Sanction Type,Source
TUNISIAN COMBATANT GROUP,"GICT, Groupe Combattant Tunisien, Groupe Islamiste Combattant Tunisien",Tunisia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
UMMAH TAMEER E-NAU (UTN),,"Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
WAFA HUMANITARIAN ORGANIZATION,"Al Wafa, Al Wafa Organization, Wafa Al-Igatha Al-Islamia","Afghanistan, Kuwait, Pakistan, United Arab Emirates",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-'ANIZI,"Abu, Abu, Abu, al-Anizi, al-'Anzi, Yusuf",Syria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AZZOUZ,"AA, Azouz, Azouz",Libya,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
ABDEL RAHMAN,"Abu, Abu, Ahmad","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-KAWARI,"al-Kawari, al-Kawari, al-Kawari, al-Kawwari, al-Kuwari",Qatar,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
OULD MUHAMMAD SALIM,"AL-MAURITANI, al-Mauritani, al-Mauritani, Chingheity, Ghader, Jelil, Khader, ould Mohamed Salem, Salem, Souleimane, the Mauritanian, the Mauritanian",Mauritania,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-MASLI,"al-Darnavi, al-Darnawi, al-Darnawi, al-Darnawi, Al-Masli, Darnavi, Darnawi, Darnawi, Darnawi, Dirnawi, Masli, Musalli",Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
AL-ZINDANI,"Al-Meguid Al-Zandani, Al-Zindani, Al-Zindani",Yemen,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
