Name,Alias,Nationality,Designation,Sanction Type,Source
Pahlawan Shamsuddin,,Afghanistan,Governor of Wardak Maidan Province under the Taliban regime,1988 Taliban,Australia
Mohammad Rasul Ayyub,,Afghanistan,Governor of Nimroz Province under the Taliban regime,1988 Taliban,Australia
Gurg,,Afghanistan,Governor of Nimroz Province under the Taliban regime,1988 Taliban,Australia
Ahmad Taha Khalid Abdul Qadir,,Afghanistan,Governor of Paktia Province under the Taliban regime,1988 Taliban,Australia
MOHAMMAD SHAFIQULLAH AHMADI FATIH KHAN,,Afghan,Governor of Samangan Province under the Taliban regime,1988 Taliban,Australia
Mohammad Shafiq Ahmadi previously listed as,,Afghan,Governor of Samangan Province under the Taliban regime,1988 Taliban,Australia
Mullah Shafiqullah,,Afghan,Governor of Samangan Province under the Taliban regime,1988 Taliban,Australia
Aminullah Amin Quddus,,Afghanistan,Governor of Saripul Province under the Taliban regime,1988 Taliban,Australia
Muhammad Yusuf,,Afghanistan,Governor of Saripul Province under the Taliban regime,1988 Taliban,Australia
Aminullah Amin,,Afghanistan,Governor of Saripul Province under the Taliban regime,1988 Taliban,Australia
Abdulhai Salek,,Afghanistan,Governor of Uruzgan Province under the Taliban regime,1988 Taliban,Australia
Ahmad Jan Akhundzada Shukoor Akhundzada,,Afghanistan,Governor of Zabol and Uruzgan Provinces under the Taliban regime,1988 Taliban,Australia
Ahmad Jan Akhunzada,,Afghanistan,Governor of Zabol and Uruzgan Provinces under the Taliban regime,1988 Taliban,Australia
Ahmad Jan Akhund Zada,,Afghanistan,Governor of Zabol and Uruzgan Provinces under the Taliban regime,1988 Taliban,Australia
Noor Mohammad Saqib,,Afghanistan,Chief Justice of Supreme Court under the Taliban regime,1988 Taliban,Australia
Hamdullah Sunani,,Afghanistan,Head of Dar,1988 Taliban,Australia
Sanani,,Afghanistan,Head of Dar,1988 Taliban,Australia
Shahabuddin Delawar,,Afghanistan,Deputy of High Court under the Taliban regime,1988 Taliban,Australia
Abdul Rahman Agha,,a Afghanistan b Pakistan,Chief Justice of Military Court under the Taliban regime,1988 Taliban,Australia
Hamidullah Akhund Sher Mohammad,,Afghanistan,Head of Ariana Afghan Airlines under the Taliban regime,1988 Taliban,Australia
Janat Gul,,Afghanistan,Head of Ariana Afghan Airlines under the Taliban regime,1988 Taliban,Australia
Hamidullah akhund,,Afghanistan,Head of Ariana Afghan Airlines under the Taliban regime,1988 Taliban,Australia
Jan Mohammad Madani Ikram,,Afghanistan,Charge dAffaires Taliban Embassy Abu Dhabi United Arab Emirates,1988 Taliban,Australia
Azizirahman Abdul Ahad,,Afghanistan,Third Secretary Taliban Embassy Abu Dhabi United Arab Emirates,1988 Taliban,Australia
Abdul Manan Mohammad Ishak,,Afghanistan,,1988 Taliban,Australia
Mohammad Sarwar Siddiqmal Mohammad Masood,,Afghanistan,Third Secretary Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Mohammad Sarwar Siddiqmal,,Afghanistan,Third Secretary Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Mohammad Zahid,,Afghanistan,Third Secretary Taliban Embassy Islamabad,1988 Taliban,Australia
Jan Agha Ahmadzai,,Afghanistan,Third Secretary Taliban Embassy Islamabad,1988 Taliban,Australia
Zahid Ahmadzai,,Afghanistan,Third Secretary Taliban Embassy Islamabad,1988 Taliban,Australia
Abdul Qadeer Basir Abdul Baseer,,Afghanistan,Military Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Abdul Qadir,,Afghanistan,Military Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Ahmad Haji,,Afghanistan,Military Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Abdul Qadir Haqqani,,Afghanistan,Military Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Abdul Qadir Basir,,Afghanistan,Military Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Nazirullah Hanafi Waliullah,,Afghanistan,Commercial Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Nazirullah Aanafi Waliullah,,Afghanistan,Commercial Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Abdul Ghafar Qurishi Abdul Ghani,,Afghanistan,Repatriation Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Abdul Ghaffar Qureshi,,Afghanistan,Repatriation Attache Taliban Embassy Islamabad Pakistan,1988 Taliban,Australia
Najibullah Muhammad Juma,,Afghanistan,Consul General Taliban Consulate General Peshawar Pakistan,1988 Taliban,Australia
Najib Ullah,,Afghanistan,Consul General Taliban Consulate General Peshawar Pakistan,1988 Taliban,Australia
Abdul Wali Seddiqi,,Afghanistan,Third Secretary Taliban Consulate General Peshwar Pakistan,1988 Taliban,Australia
Abdul Quddus Mazhari,,Afghanistan,Education Attache Taliban Consulate General Peshawar Pakistan,1988 Taliban,Australia
Akhtar Mohammad Mazhari,,Afghanistan,Education Attache Taliban Consulate General Peshawar Pakistan,1988 Taliban,Australia
Mohammad Sadiq Amir Mohammad,,Afghanistan,Head of Afghan Trade Agency Peshawar Pakistan,1988 Taliban,Australia
Rahmatullah Kakazada,,Afghanistan,Consul General Taliban Consulate General Karachi Pakistan,1988 Taliban,Australia
