Name,Alias,Nationality,Designation,Sanction Type,Source
ABDUL QADEER BASIR ABDUL BASEER,Abdul Qadir,Afghanistan,"Military Attache, Taliban Embassy, Islamabad, Pakistan",Taliban,UN
MOHAMMAD SADIQ AMIR MOHAMMAD,,Afghanistan,"Head of Afghan Trade Agency, Peshawar, Pakistan",Taliban,UN
RAHMATULLAH KAKAZADA,Rehmatullah,Afghanistan,"Consul General, Taliban Consulate General, Karachi, Pakistan",Taliban,UN
ABDULLAH HAMAD MOHAMMAD KARIM,al-Hammad,Afghanistan,"Consul General, Taliban Consulate General, Quetta,
Pakistan",Taliban,UN
MAJEED ABDUL CHAUDHRY,"Majeed, Abdul",Pakistan,individual,Al-Qaida,UN
SULAIMAN JASSEM SULAIMAN,Abo Ghaith,Kuwait,individual,Al-Qaida,UN
AMIN MUHAMMAD UL HAQ,"Al-Haq, Amin",Afghanistan,individual,Al-Qaida,UN
TARIQ ANWAR EL SAYED,Hamdi Ahmad Farag,Egypt,individual,Al-Qaida,UN
ABDUL MANAN AGHA,Abdul Manan,Unknown,individual,Al-Qaida,UN
IBRAHIM ALI ABU BAKR,Abd al-Muhsin,Libya,individual,Al-Qaida,UN
THARWAT SALAH SHIHATA,Tarwat Salah Abdallah,Egypt,individual,Al-Qaida,UN
ABDULLAH ANSHORI,Abu Fatih,Indonesia,individual,Al-Qaida,UN
ABU BAKAR BA'ASYIR,Abu Bakar Baasyir,Indonesia,individual,Al-Qaida,UN
MOKHTAR BELMOKHTAR,Abou Abbes Khaled,Algeria,individual,Al-Qaida,UN
FAYCAL BOUGHANEMI,Faical Boughanmi,Tunisia,individual,Al-Qaida,UN
ABD EL KADER MAHMOUD MOHAMED,"Es Sayed, Kader",Egypt,individual,Al-Qaida,UN
MOHAMMAD TAHIR HAMMID,Abdelhamid Al Kurdi,Iraq,individual,Al-Qaida,UN
NASHWAN ABD AL-RAZZAQ ABD AL-BAQI,Abdal Al-Hadi Al-Iraqi,Iraq,individual,Al-Qaida,UN
BOUBEKEUR BOULGHITI,Boubakeur Boulghit,Algeria,individual,Al-Qaida,UN
ABD-AL-MAJID AZIZ AL-ZINDANI,Abdelmajid Al-Zindani,Yemen,individual,Al-Qaida,UN
BILAL BIN MARWAN,,Unknown,individual,Al-Qaida,UN
RAMZI MOHAMED ABDULLAH,"Binalsheidah, Ramzi Mohamed Abdullah",Yemen,individual,Al-Qaida,UN
ABDULLAH AHMED ABDULLAH,Abu Mariam,Egypt,individual,Al-Qaida,UN
MOUNIR EL MOTASSADEQ,Mounir el Moutassadeq,Morocco,individual,Al-Qaida,UN
GUN GUN RUSMAN GUNAWAN,"Gunawan, Rusman",Indonesia,individual,Al-Qaida,UN
FARHAD KANABI AHMAD,Kaua Omar Achmed,Iraq,individual,Al-Qaida,UN
NURJAMAN RIDUAN ISAMUDDIN,Hambali,Indonesia,individual,Al-Qaida,UN
SALIM Y SALAMUDDIN JULKIPLI,Kipli Sali,Philippines,individual,Al-Qaida,UN
MAHFOUZ OULD AL-WALID,Abu Hafs the Mauritanian,Mauritania,individual,Al-Qaida,UN
SAID BAHAJI,Zouheir Al Maghribi,Germany,individual,Al-Qaida,UN
MAHMOOD SULTAN BASHIR-UD-DIN,"Mahmood, Sultan Bashiruddin",Pakistan,individual,Al-Qaida,UN
